epoch,train_loss,train_acc,train_macro_f1,train_bal_acc,val_loss,val_acc,val_macro_f1,val_bal_acc,epoch_seconds
1,0.229755,0.911007,0.910866,0.910581,0.045778,0.990566,0.990558,0.990385,11.154
2,0.023658,0.994145,0.994143,0.994165,0.004072,1.0,1.0,1.0,8.581
3,0.00626,0.998829,0.998829,0.998851,0.016475,0.995283,0.99528,0.995192,8.942
4,0.017012,0.992974,0.992972,0.992972,0.006075,1.0,1.0,1.0,8.611
5,0.009669,0.997658,0.997657,0.997613,0.005068,1.0,1.0,1.0,8.571
6,0.005533,0.998829,0.998829,0.998851,0.001289,1.0,1.0,1.0,8.729
7,0.024674,0.995316,0.995315,0.995315,0.004999,1.0,1.0,1.0,8.721
8,0.01801,0.994145,0.994142,0.994077,0.001288,1.0,1.0,1.0,8.695
9,0.004219,1.0,1.0,1.0,0.001722,1.0,1.0,1.0,8.654
10,0.011022,0.996487,0.996486,0.996508,0.000517,1.0,1.0,1.0,9.013
11,0.001228,1.0,1.0,1.0,0.001334,1.0,1.0,1.0,8.766
12,0.00188,1.0,1.0,1.0,0.000899,1.0,1.0,1.0,8.782
13,0.000567,1.0,1.0,1.0,0.000715,1.0,1.0,1.0,8.648
14,0.000573,1.0,1.0,1.0,0.000443,1.0,1.0,1.0,8.717
15,0.000673,1.0,1.0,1.0,0.000636,1.0,1.0,1.0,8.969
16,0.000163,1.0,1.0,1.0,0.000256,1.0,1.0,1.0,8.933
17,0.011971,0.997658,0.997657,0.997613,0.000313,1.0,1.0,1.0,8.741
18,0.000301,1.0,1.0,1.0,0.000209,1.0,1.0,1.0,8.861
19,0.00043,1.0,1.0,1.0,0.000194,1.0,1.0,1.0,8.703
20,0.004698,0.997658,0.997657,0.997657,0.000215,1.0,1.0,1.0,8.723
